Month,State,Source,Unit,Installed_Capacity
2019-01-01,Chandigarh,Coal,MW,0
2019-01-01,Delhi,Coal,MW,135
2019-01-01,Haryana,Coal,MW,5540
2019-01-01,Himachal Pradesh,Coal,MW,0
2019-01-01,Jammu and Kashmir,Coal,MW,0
2019-01-01,Punjab,Coal,MW,5680
2019-01-01,Rajasthan,Coal,MW,8500
2019-01-01,Uttar Pradesh,Coal,MW,21749
2019-01-01,Uttarakhand,Coal,MW,0
2019-01-01,Andaman & Nicobar Islands,Coal,MW,0
2019-01-01,Bihar,Coal,MW,5480
2019-01-01,Jharkhand,Coal,MW,4590
2019-01-01,Odisha,Coal,MW,7680
2019-01-01,Sikkim,Coal,MW,0
2019-01-01,West Bengal,Coal,MW,14275
2019-01-01,Chhatisgarh,Coal,MW,22968
2019-01-01,Dadra & Nagar Haveli,Coal,MW,0
2019-01-01,Daman & Diu,Coal,MW,0
2019-01-01,Goa,Coal,MW,0
2019-01-01,Gujarat,Coal,MW,15492
2019-01-01,Madhya Pradesh,Coal,MW,18325
2019-01-01,Maharashtra,Coal,MW,25226
2019-01-01,Andhra Pradesh,Coal,MW,11590
2019-01-01,Karnataka,Coal,MW,9480
2019-01-01,Kerala,Coal,MW,0
2019-01-01,Lakshadweep,Coal,MW,0
2019-01-01,Puducherry,Coal,MW,0
2019-01-01,Tamil Nadu,Coal,MW,12760
2019-01-01,Telangana,Coal,MW,7482.5
2019-01-01,Arunachal Pradesh,Coal,MW,0
2019-01-01,Assam,Coal,MW,500
2019-01-01,Manipur,Coal,MW,0
2019-01-01,Meghalaya,Coal,MW,0
2019-01-01,Mizoram,Coal,MW,0
2019-01-01,Nagaland,Coal,MW,0
2019-01-01,Tripura,Coal,MW,0
2019-02-01,Chandigarh,Coal,MW,0
2019-02-01,Delhi,Coal,MW,135
2019-02-01,Haryana,Coal,MW,5540
2019-02-01,Himachal Pradesh,Coal,MW,0
2019-02-01,Jammu and Kashmir,Coal,MW,0
2019-02-01,Punjab,Coal,MW,5680
2019-02-01,Rajasthan,Coal,MW,8500
2019-02-01,Uttar Pradesh,Coal,MW,21749
2019-02-01,Uttarakhand,Coal,MW,0
2019-02-01,Andaman & Nicobar Islands,Coal,MW,0
2019-02-01,Bihar,Coal,MW,5480
2019-02-01,Jharkhand,Coal,MW,4590
2019-02-01,Odisha,Coal,MW,7680
2019-02-01,Sikkim,Coal,MW,0
2019-02-01,West Bengal,Coal,MW,14275
2019-02-01,Chhatisgarh,Coal,MW,22968
2019-02-01,Dadra & Nagar Haveli,Coal,MW,0
2019-02-01,Daman & Diu,Coal,MW,0
2019-02-01,Goa,Coal,MW,0
2019-02-01,Gujarat,Coal,MW,15492
2019-02-01,Madhya Pradesh,Coal,MW,18325
2019-02-01,Maharashtra,Coal,MW,25226
2019-02-01,Andhra Pradesh,Coal,MW,11590
2019-02-01,Karnataka,Coal,MW,9480
2019-02-01,Kerala,Coal,MW,0
2019-02-01,Lakshadweep,Coal,MW,0
2019-02-01,Puducherry,Coal,MW,0
2019-02-01,Tamil Nadu,Coal,MW,12660
2019-02-01,Telangana,Coal,MW,7482.5
2019-02-01,Arunachal Pradesh,Coal,MW,0
2019-02-01,Assam,Coal,MW,500
2019-02-01,Manipur,Coal,MW,0
2019-02-01,Meghalaya,Coal,MW,0
2019-02-01,Mizoram,Coal,MW,0
2019-02-01,Nagaland,Coal,MW,0
2019-02-01,Tripura,Coal,MW,0
2019-03-01,Chandigarh,Coal,MW,0
2019-03-01,Delhi,Coal,MW,135
2019-03-01,Haryana,Coal,MW,5540
2019-03-01,Himachal Pradesh,Coal,MW,0
2019-03-01,Jammu and Kashmir,Coal,MW,0
2019-03-01,Punjab,Coal,MW,5680
2019-03-01,Rajasthan,Coal,MW,9160
2019-03-01,Uttar Pradesh,Coal,MW,21749
2019-03-01,Uttarakhand,Coal,MW,0
2019-03-01,Andaman & Nicobar Islands,Coal,MW,0
2019-03-01,Bihar,Coal,MW,5730
2019-03-01,Jharkhand,Coal,MW,4590
2019-03-01,Odisha,Coal,MW,7680
2019-03-01,Sikkim,Coal,MW,0
2019-03-01,West Bengal,Coal,MW,14287
2019-03-01,Chhatisgarh,Coal,MW,23328
2019-03-01,Dadra & Nagar Haveli,Coal,MW,0
2019-03-01,Daman & Diu,Coal,MW,0
2019-03-01,Goa,Coal,MW,0
2019-03-01,Gujarat,Coal,MW,15492
2019-03-01,Madhya Pradesh,Coal,MW,19785
2019-03-01,Maharashtra,Coal,MW,25886
2019-03-01,Andhra Pradesh.,Coal,MW,11590
2019-03-01,Karnataka,Coal,MW,9480
2019-03-01,Kerala,Coal,MW,0
2019-03-01,Lakshadweep,Coal,MW,0
2019-03-01,Puducherry,Coal,MW,0
2019-03-01,Tamil Nadu,Coal,MW,12660
2019-03-01,Telangana,Coal,MW,7182.5
2019-03-01,Arunachal Pradesh,Coal,MW,0
2019-03-01,Assam,Coal,MW,750
2019-03-01,Manipur,Coal,MW,0
2019-03-01,Meghalaya,Coal,MW,0
2019-03-01,Mizoram,Coal,MW,0
2019-03-01,Nagaland,Coal,MW,0
2019-03-01,Tripura,Coal,MW,0
2019-04-01,Chandigarh,Coal,MW,0
2019-04-01,Delhi,Coal,MW,135
2019-04-01,Haryana,Coal,MW,5540
2019-04-01,Himachal Pradesh,Coal,MW,0
2019-04-01,Jammu and Kashmir,Coal,MW,0
2019-04-01,Punjab,Coal,MW,5680
2019-04-01,Rajasthan,Coal,MW,9160
2019-04-01,Uttar Pradesh,Coal,MW,21749
2019-04-01,Uttarakhand,Coal,MW,0
2019-04-01,Andaman & Nicobar Islands,Coal,MW,0
2019-04-01,Bihar,Coal,MW,5730
2019-04-01,Jharkhand,Coal,MW,4590
2019-04-01,Odisha,Coal,MW,7680
2019-04-01,Sikkim,Coal,MW,0
2019-04-01,West Bengal,Coal,MW,14287
2019-04-01,Chhatisgarh,Coal,MW,23328
2019-04-01,Dadra & Nagar Haveli,Coal,MW,0
2019-04-01,Daman & Diu,Coal,MW,0
2019-04-01,Goa,Coal,MW,0
2019-04-01,Gujarat,Coal,MW,15492
2019-04-01,Madhya Pradesh,Coal,MW,19785
2019-04-01,Maharashtra,Coal,MW,25886
2019-04-01,Andhra Pradesh.,Coal,MW,11590
2019-04-01,Karnataka,Coal,MW,9480
2019-04-01,Kerala,Coal,MW,0
2019-04-01,Lakshadweep,Coal,MW,0
2019-04-01,Puducherry,Coal,MW,0
2019-04-01,Tamil Nadu,Coal,MW,12660
2019-04-01,Telangana,Coal,MW,7182.5
2019-04-01,Arunachal Pradesh,Coal,MW,0
2019-04-01,Assam,Coal,MW,750
2019-04-01,Manipur,Coal,MW,0
2019-04-01,Meghalaya,Coal,MW,0
2019-04-01,Mizoram,Coal,MW,0
2019-04-01,Nagaland,Coal,MW,0
2019-04-01,Tripura,Coal,MW,0
2019-05-01,Chandigarh,Coal,MW,0
