Country,Country code,State,State code,State type,Year,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Clean,%,19.69,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Fossil,%,80.31,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,80.31,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,6.84,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Renewables,%,19.69,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Wind and Solar,%,12.85,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Clean,GWh,21.73,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Fossil,GWh,88.62,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,GWh,88.62,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GWh,7.55,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Renewables,GWh,21.73,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Aggregate fuel,Wind and Solar,GWh,14.18,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Bioenergy,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Coal,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Gas,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Hydro,%,6.84,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Nuclear,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Other Fossil,%,80.31,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Other Renewables,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Solar,%,12.85,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Wind,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Bioenergy,GWh,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Coal,GWh,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Gas,GWh,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Hydro,GWh,7.55,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Nuclear,GWh,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Other Fossil,GWh,88.62,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Other Renewables,GWh,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Solar,GWh,14.18,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Fuel,Wind,GWh,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Electricity generation,Total,Total Generation,GWh,110.35,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,Clean,%,0.86,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,Fossil,%,62.03,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,Gas and Other Fossil,%,62.03,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,0.18,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,Renewables,%,0.86,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,Wind and Solar,%,0.68,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,Clean,ktCO2,0.86,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,Fossil,ktCO2,62.03,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,Gas and Other Fossil,ktCO2,62.03,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",ktCO2,0.18,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,Renewables,ktCO2,0.86,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Aggregate fuel,Wind and Solar,ktCO2,0.68,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,569.91,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Bioenergy,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Coal,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Gas,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Hydro,%,0.18,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Nuclear,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Other Fossil,%,62.03,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Other Renewables,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Solar,%,0.68,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Wind,%,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Bioenergy,ktCO2,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Coal,ktCO2,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Gas,ktCO2,0.0,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Hydro,ktCO2,0.18,,
India,IND,Andaman and Nicobar,AN,Union territory,2019,Power sector emissions,Fuel,Nuclear,ktCO2,0.0,,
